Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level
YouTube,#Education,Post,Canada,3096420,364521,73308,29082,Low
YouTube,#Gaming,Tweet,Germany,2723916,1349,81918,11870,High
TikTok,#Music,Live Stream,UK,2249678,46464,83075,5710,Medium
Twitter,#Viral,Shorts,Germany,3311289,352538,55203,5369,Medium
Instagram,#Music,Tweet,India,3588997,241125,65026,30917,Medium
Instagram,#Fitness,Post,Japan,13562,11483,33641,30457,Medium
Twitter,#Fitness,Live Stream,USA,3926751,302919,49216,30399,Low
YouTube,#Music,Tweet,UK,2750317,59766,75524,27938,High
TikTok,#Challenge,Reel,Germany,4655757,383024,45530,48504,Medium
Instagram,#Fitness,Video,USA,4844012,452777,44862,23870,High
Twitter,#Dance,Video,USA,3868789,188191,4660,26605,Medium
Twitter,#Viral,Tweet,Australia,2517364,418305,51641,34605,High
Instagram,#Dance,Video,Brazil,1994041,310266,87995,40217,Medium
TikTok,#Education,Shorts,Australia,1402998,241244,56779,14849,High
YouTube,#Fashion,Live Stream,Brazil,702950,17361,62405,10538,Low
Instagram,#Education,Tweet,Canada,1599554,364748,16705,8949,High
TikTok,#Tech,Post,Australia,4600976,443617,98343,18038,High
Twitter,#Viral,Shorts,USA,2495410,213884,16804,17614,Low
TikTok,#Dance,Video,Germany,1838563,289125,77191,27066,High
YouTube,#Tech,Shorts,India,2920650,416403,56902,2675,Low
TikTok,#Viral,Video,Germany,1772623,361245,30503,13260,Low
Instagram,#Comedy,Shorts,Australia,2484315,101605,80028,36281,High
YouTube,#Comedy,Live Stream,India,4927173,22341,38730,42476,Medium
TikTok,#Challenge,Video,UK,3924183,283030,30676,43977,Low
Instagram,#Music,Post,USA,4646060,21362,31562,19778,Medium
YouTube,#Fitness,Video,USA,3901900,20166,30661,25363,Low
Instagram,#Fashion,Video,Japan,962137,319381,69098,38387,Low
TikTok,#Education,Video,Germany,3859007,277223,81798,46985,Medium
Twitter,#Challenge,Shorts,UK,3837223,140163,85932,40674,Medium
Instagram,#Comedy,Post,UK,1029488,449148,87211,35005,High
Twitter,#Fashion,Post,Germany,879364,232290,7501,23547,Low
TikTok,#Comedy,Live Stream,USA,4828597,131837,43770,9395,Low
YouTube,#Education,Video,India,3487375,107303,83451,45313,High
TikTok,#Dance,Tweet,India,3418884,311286,82479,7832,High
YouTube,#Challenge,Reel,Brazil,1337059,318166,72711,32791,High
TikTok,#Education,Live Stream,Canada,707841,133933,46058,45912,High
TikTok,#Fitness,Shorts,Australia,1851460,345987,13274,43872,Low
Instagram,#Fashion,Tweet,Canada,1438248,223413,84930,42774,Low
Instagram,#Fashion,Live Stream,Brazil,4027409,80497,44156,14597,Medium
Instagram,#Music,Video,India,3488909,443844,19877,22056,Low
TikTok,#Fitness,Video,USA,1089083,150418,45387,25632,Medium
TikTok,#Fashion,Live Stream,Germany,682046,480038,71997,18117,High
YouTube,#Tech,Live Stream,Brazil,4849297,86843,16843,14705,Low
Instagram,#Challenge,Tweet,USA,4283565,107901,84854,4738,Low
Twitter,#Comedy,Shorts,India,50082,70708,277,25036,Low
Twitter,#Viral,Post,USA,3940355,82304,68754,15897,Low
Instagram,#Education,Reel,Canada,964498,194879,76029,34998,High
TikTok,#Tech,Shorts,UK,636824,363548,17456,8176,Low
TikTok,#Comedy,Reel,India,4179125,94325,72341,7328,Low
Instagram,#Gaming,Video,Brazil,1292958,95304,3716,44880,Low
Instagram,#Viral,Reel,UK,4103477,75909,5645,4052,Low
Twitter,#Education,Reel,Germany,3529777,68367,38326,879,High
Instagram,#Fashion,Reel,USA,4593170,34210,33344,11022,Low
TikTok,#Challenge,Shorts,Brazil,3251679,498580,96093,9968,Medium
Instagram,#Tech,Shorts,Canada,41081,319140,6541,23057,Low
Twitter,#Dance,Shorts,Canada,2127698,193956,14856,32442,Medium
YouTube,#Education,Shorts,Australia,4765117,177035,49884,46238,Medium
Twitter,#Fitness,Reel,India,2114283,462542,14404,37153,Low
YouTube,#Fashion,Reel,Canada,4391275,392281,14429,27404,High
TikTok,#Gaming,Post,India,1246500,471547,15048,40514,High
Twitter,#Music,Tweet,Germany,4555977,1087,23157,12611,Medium
Twitter,#Gaming,Tweet,India,400424,56569,59897,49341,Medium
Instagram,#Challenge,Video,Brazil,3201846,335416,50986,16715,High
TikTok,#Gaming,Video,Germany,102418,107650,94514,26548,Medium
Twitter,#Comedy,Tweet,Australia,4253909,448284,39383,32995,Low
TikTok,#Fitness,Live Stream,Australia,1551922,47511,7404,25497,Low
YouTube,#Challenge,Post,Germany,3587143,430347,96428,42640,Medium
Instagram,#Fashion,Video,USA,2252593,61466,13181,29007,High
YouTube,#Challenge,Video,Australia,2547290,382792,78654,30532,Medium
YouTube,#Viral,Reel,USA,2946297,223304,83502,10855,Low
Twitter,#Education,Video,India,4459268,356292,52389,33857,Low
Instagram,#Music,Live Stream,Australia,1630617,435112,71742,49750,High
Instagram,#Education,Live Stream,USA,4709770,389553,55435,16799,Medium
Instagram,#Fitness,Tweet,Australia,2275387,271817,72208,27046,High
TikTok,#Tech,Tweet,Brazil,2784320,373955,22997,15361,High
Twitter,#Music,Tweet,USA,3674194,19972,97555,24310,Medium
YouTube,#Music,Post,UK,2126429,36274,51278,44234,Medium
YouTube,#Fitness,Shorts,USA,1598712,280260,58128,4485,High
Twitter,#Fashion,Video,Australia,3464211,115302,63150,37858,Medium
Twitter,#Fitness,Reel,UK,1519290,495937,13211,49107,Low
Instagram,#Fitness,Tweet,Canada,4888613,414422,11933,23903,High
Twitter,#Viral,Shorts,USA,3712060,302466,63802,49953,Low
Instagram,#Tech,Reel,UK,4003071,22251,13517,13392,Low
Instagram,#Dance,Video,Germany,681752,197632,98860,19379,High
Instagram,#Gaming,Shorts,Germany,4684548,122401,82864,42106,Low
Instagram,#Tech,Video,UK,3916842,292224,72417,38211,High
TikTok,#Dance,Reel,UK,798887,326922,87308,21689,Medium
Twitter,#Gaming,Video,Australia,688077,243607,79071,12078,High
Twitter,#Challenge,Reel,Japan,1520250,214233,80,10917,Medium
TikTok,#Fashion,Post,Australia,496652,106618,64875,44200,High
TikTok,#Education,Reel,India,479620,337321,99486,26524,Medium
YouTube,#Education,Reel,USA,4221739,291223,61415,44293,Low
Twitter,#Education,Live Stream,Brazil,4425196,324343,33641,22289,High
Instagram,#Comedy,Shorts,UK,4236960,259668,86293,16169,Low
TikTok,#Education,Reel,India,2488223,177673,86535,39991,Low
YouTube,#Dance,Live Stream,UK,2809035,359231,78623,27822,Medium
YouTube,#Music,Shorts,Brazil,444252,398838,7767,19133,High
Instagram,#Fashion,Reel,India,907575,42770,5219,47956,Low
TikTok,#Dance,Post,Canada,2440215,199343,53628,10359,Medium
TikTok,#Comedy,Shorts,USA,3982001,131915,64092,22170,Medium
Twitter,#Fashion,Reel,Brazil,3802724,457464,83495,19409,High
YouTube,#Dance,Shorts,Australia,3049554,441149,46483,36909,Low
YouTube,#Fashion,Video,Germany,3186810,312491,66586,7390,Medium
YouTube,#Gaming,Live Stream,Australia,810296,77866,87591,41350,High
Twitter,#Dance,Post,UK,4459224,957,54290,47674,High
Instagram,#Viral,Post,USA,741152,226355,58251,46227,High
Twitter,#Fashion,Tweet,USA,2945128,368541,66690,3800,Medium
Twitter,#Music,Post,Canada,2302342,153529,52488,41257,High
YouTube,#Fashion,Shorts,Australia,469793,295293,29190,9480,Medium
Twitter,#Comedy,Live Stream,UK,2452099,320043,91765,2987,Low
TikTok,#Tech,Live Stream,UK,2651939,209375,2127,12291,Low
TikTok,#Fitness,Shorts,India,1580449,299597,35471,1908,High
Instagram,#Dance,Tweet,India,4764800,52536,65976,47528,Medium
Twitter,#Comedy,Tweet,Japan,4336145,295452,2342,22411,Medium
Instagram,#Viral,Shorts,Japan,4316287,188239,34891,39029,Medium
Twitter,#Gaming,Tweet,Japan,1516746,272088,48475,36816,Medium
TikTok,#Fitness,Post,USA,4497673,460735,96637,47633,Medium
YouTube,#Dance,Live Stream,UK,1200639,381211,2574,40242,Medium
YouTube,#Viral,Tweet,USA,3115115,81186,14964,1885,Low
Twitter,#Dance,Tweet,India,89968,450376,40577,19844,Medium
TikTok,#Dance,Tweet,Japan,2177828,478703,86167,17109,Medium
Twitter,#Viral,Shorts,India,306511,404600,32664,35337,Medium
Instagram,#Music,Reel,UK,4422912,199110,95413,32057,Low
Instagram,#Tech,Post,UK,4326885,300734,1870,1496,Medium
YouTube,#Music,Live Stream,Germany,4732360,84552,21664,36363,Medium
YouTube,#Gaming,Video,Japan,2510808,348707,17968,46925,High
Instagram,#Education,Video,USA,2710672,252420,23167,5670,Low
TikTok,#Fitness,Shorts,Australia,4096796,365062,58371,48138,Medium
YouTube,#Gaming,Live Stream,UK,940184,131729,1559,12135,Low
Twitter,#Viral,Shorts,USA,2184148,326178,46185,1902,High
Instagram,#Challenge,Shorts,Australia,1498512,205870,16834,34865,Medium
Instagram,#Dance,Video,Germany,4300552,428951,18627,12148,Low
YouTube,#Challenge,Reel,Japan,3267055,133930,81976,22080,Low
TikTok,#Fitness,Post,Canada,2095875,78244,43598,16006,Low
YouTube,#Education,Shorts,USA,1465227,158579,8809,33511,High
YouTube,#Viral,Reel,Japan,1715566,326676,69635,19235,Low
Instagram,#Fitness,Reel,Brazil,4708687,133736,49028,3765,Medium
YouTube,#Challenge,Tweet,UK,1091635,198291,5604,31314,Medium
TikTok,#Dance,Reel,UK,1111002,266261,22269,39363,Low
YouTube,#Comedy,Post,Japan,869375,123390,59716,46989,Low
Twitter,#Gaming,Video,Japan,2551247,384714,36284,18974,High
YouTube,#Viral,Shorts,India,920528,400658,58158,26810,High
YouTube,#Viral,Shorts,Japan,2846948,55585,27235,29699,Medium
Instagram,#Fashion,Shorts,UK,2801638,111973,60593,35663,Medium
TikTok,#Dance,Video,Canada,1556267,56055,12612,20474,Low
TikTok,#Viral,Post,Brazil,1828433,126683,82181,48618,Low
YouTube,#Dance,Post,UK,3988715,211316,4804,33837,Medium
TikTok,#Fashion,Video,Canada,3290858,250085,41283,20251,High
YouTube,#Viral,Tweet,USA,3703315,449350,54600,26510,Medium
TikTok,#Education,Post,Canada,506215,303740,98918,36904,Medium
YouTube,#Fitness,Post,Canada,762333,406861,79834,13785,Medium
Twitter,#Dance,Post,Brazil,3252738,420498,5811,2661,High
Instagram,#Fashion,Tweet,Germany,4080585,203708,22677,23693,Medium
TikTok,#Comedy,Tweet,Germany,1450112,409512,91982,9118,Medium
Twitter,#Gaming,Post,UK,2512592,418988,4122,18706,Low
TikTok,#Fitness,Video,Japan,3714148,291659,27722,28024,High
Twitter,#Challenge,Tweet,USA,2276898,337038,56049,13735,Medium
YouTube,#Challenge,Shorts,Australia,342675,493624,4168,35727,Low
Instagram,#Fitness,Post,Australia,2787914,198350,96753,45466,Medium
Instagram,#Comedy,Tweet,USA,893271,69359,66059,43386,Medium
YouTube,#Dance,Post,Japan,2061951,381908,33698,25476,High
Twitter,#Music,Reel,Canada,3823345,32222,64447,44453,High
Twitter,#Fitness,Live Stream,USA,4330038,118835,19134,27781,High
YouTube,#Fitness,Video,Canada,2714016,86422,85827,36320,High
Instagram,#Music,Tweet,Canada,4588770,448601,52948,32818,Medium
Instagram,#Tech,Video,Canada,485489,265199,14446,34447,Low
YouTube,#Education,Post,UK,2688752,472554,2742,14495,Low
YouTube,#Comedy,Post,Brazil,2417512,154294,98184,18043,Medium
TikTok,#Comedy,Tweet,Japan,1612356,488560,75088,11999,Low
Instagram,#Dance,Shorts,Japan,242459,366128,20712,22677,Medium
Twitter,#Dance,Live Stream,UK,4041579,326486,69020,47705,High
Twitter,#Dance,Post,Canada,2214561,156292,18753,3643,Medium
YouTube,#Dance,Post,UK,2524440,262085,98352,37571,High
Instagram,#Viral,Reel,Canada,4675636,328475,4510,45120,Low
YouTube,#Tech,Live Stream,UK,1093553,43035,52724,29091,Low
Twitter,#Music,Tweet,Australia,2860355,157614,70326,47778,Medium
Twitter,#Fitness,Video,USA,4643597,200851,87149,35230,Low
Twitter,#Challenge,Reel,Brazil,4889936,142520,56142,26214,High
TikTok,#Education,Reel,Japan,1483481,353517,41615,11414,Low
Instagram,#Dance,Tweet,Germany,734933,421895,50675,12150,Medium
YouTube,#Fashion,Reel,Japan,4485712,464196,67958,45876,High
Twitter,#Comedy,Shorts,UK,1165962,105888,48384,47511,High
Twitter,#Gaming,Tweet,India,791211,251591,9900,36509,High
YouTube,#Dance,Post,UK,755921,275570,36739,37643,High
Instagram,#Fitness,Tweet,India,1966067,136472,63614,18304,Medium
Twitter,#Fashion,Tweet,Germany,3275624,455318,72364,39134,Medium
Twitter,#Comedy,Live Stream,India,4914869,200375,2393,37178,Medium
Twitter,#Music,Tweet,Japan,694970,180020,88660,5645,High
YouTube,#Comedy,Tweet,Australia,2507996,317525,50404,25462,High
Twitter,#Dance,Reel,USA,2122512,277831,95870,1487,High
Twitter,#Dance,Reel,USA,4445772,159466,75212,24528,Low
Instagram,#Education,Video,UK,495496,300566,97031,48197,Low
TikTok,#Challenge,Post,Germany,1035819,94853,68842,31836,Low
Twitter,#Comedy,Tweet,USA,424447,50456,76836,13951,High
TikTok,#Gaming,Shorts,Germany,3949831,495150,7915,2858,High
Instagram,#Tech,Reel,Canada,70424,392371,44740,10705,Low
TikTok,#Fitness,Live Stream,India,4820393,44861,86973,46410,Medium
TikTok,#Fashion,Reel,Canada,864256,437954,60063,46333,High
Instagram,#Comedy,Reel,Germany,1853392,232747,87334,27858,Medium
Twitter,#Challenge,Live Stream,Germany,4700334,65555,32126,13215,High
TikTok,#Education,Video,Brazil,4412697,108323,25130,6295,High
Instagram,#Education,Live Stream,Brazil,340950,127995,30856,14353,High
TikTok,#Tech,Tweet,Japan,3763770,75074,87283,26590,Medium
Twitter,#Dance,Tweet,Japan,394485,373829,36151,12167,Low
Twitter,#Viral,Live Stream,Australia,4250412,138828,47483,35614,High
Twitter,#Tech,Reel,UK,1722013,357734,70729,37238,High
Twitter,#Comedy,Video,Brazil,1359747,471796,85070,14073,High
YouTube,#Comedy,Tweet,Germany,3205182,109645,57308,13223,Medium
Instagram,#Education,Video,India,1333000,426321,26174,27048,Medium
Instagram,#Challenge,Post,UK,543708,19494,13359,8753,Low
TikTok,#Fitness,Shorts,Australia,2337694,429342,49196,28304,Medium
TikTok,#Comedy,Shorts,Brazil,1423060,44643,79715,20950,High
Twitter,#Comedy,Live Stream,Brazil,70463,81866,70328,42489,Low
TikTok,#Dance,Post,Brazil,245443,457409,42668,8442,Low
TikTok,#Education,Tweet,Japan,2243003,67157,46609,10189,High
YouTube,#Comedy,Post,India,567506,90799,30845,11229,Medium
YouTube,#Music,Post,Japan,1345248,10364,16629,34324,Medium
Instagram,#Dance,Video,Canada,567122,489613,6414,13429,Low
Twitter,#Fitness,Video,UK,4719001,143216,93614,38476,Low
TikTok,#Gaming,Tweet,UK,1357286,485410,96395,177,High
Twitter,#Fashion,Tweet,India,2298278,202870,25710,3153,Low
TikTok,#Challenge,Post,Brazil,436487,440596,28677,23094,Medium
YouTube,#Fashion,Post,Brazil,2824208,151603,30104,8914,High
Twitter,#Gaming,Tweet,Germany,2517906,254149,3970,17586,Medium
TikTok,#Challenge,Tweet,Japan,1070510,29674,53802,4514,High
TikTok,#Comedy,Tweet,UK,3369227,130484,70848,12010,Medium
TikTok,#Fitness,Video,USA,2580238,118495,10621,34440,Medium
TikTok,#Comedy,Live Stream,Japan,1094116,301730,23651,29582,High
YouTube,#Music,Reel,UK,3107277,201634,7994,4367,High
Instagram,#Tech,Video,Canada,3502729,423463,33243,17585,Medium
YouTube,#Tech,Tweet,Brazil,3073848,306268,94923,45513,Medium
TikTok,#Comedy,Tweet,Japan,2092377,158177,72216,47525,High
YouTube,#Education,Post,USA,4530257,474798,91950,40024,High
TikTok,#Tech,Live Stream,Japan,4297874,462449,15517,44021,Medium
TikTok,#Comedy,Post,Australia,2847461,439633,17966,47276,Medium
Instagram,#Viral,Video,Canada,4096574,225112,53015,15291,Low
Twitter,#Fitness,Reel,Brazil,3708615,239914,45200,8352,Low
TikTok,#Music,Reel,India,4047898,375210,72728,40390,Medium
Twitter,#Comedy,Reel,Brazil,2676484,97672,26461,49856,High
Instagram,#Education,Video,Canada,961039,320162,73066,32,Low
Twitter,#Fashion,Tweet,Canada,3806052,336179,69578,32549,Medium
TikTok,#Viral,Tweet,Australia,2277888,10022,63720,49788,Low
Instagram,#Viral,Tweet,UK,3850711,419814,14656,45277,Low
Twitter,#Tech,Shorts,Germany,1675122,177756,68407,36886,Medium
Instagram,#Challenge,Video,Canada,121735,293092,98179,41884,Low
Instagram,#Music,Reel,Australia,423362,110690,51877,22816,High
Twitter,#Challenge,Shorts,Australia,2902262,99211,30845,37170,Medium
YouTube,#Challenge,Post,Brazil,1670715,304208,67487,36984,High
YouTube,#Fitness,Tweet,Brazil,3577708,6650,74312,12776,Low
Twitter,#Comedy,Post,Australia,4157406,52815,89361,25431,Medium
TikTok,#Comedy,Post,Brazil,4955860,204064,19359,46500,Medium
TikTok,#Tech,Post,USA,3562055,211324,22318,48831,Low
YouTube,#Fashion,Post,Canada,4443444,329468,67869,13843,Medium
TikTok,#Comedy,Video,UK,377149,207589,13408,15058,High
YouTube,#Tech,Live Stream,USA,2711504,428947,52195,4775,High
YouTube,#Challenge,Live Stream,Australia,429918,121461,7858,29359,Low
YouTube,#Gaming,Live Stream,Germany,4023574,127139,4948,42147,Medium
TikTok,#Gaming,Tweet,Brazil,3106083,104414,65393,39972,High
Twitter,#Viral,Shorts,UK,374765,370936,46890,10055,Low
Instagram,#Tech,Post,Brazil,3573199,332761,15013,41115,Low
YouTube,#Education,Post,Brazil,1772657,333017,23933,28501,Low
YouTube,#Gaming,Post,UK,3559212,54955,38056,8025,High
TikTok,#Education,Live Stream,Germany,147632,19332,644,49459,Low
Instagram,#Challenge,Post,Japan,258238,465551,15136,48715,Low
TikTok,#Dance,Video,Germany,4133077,402734,72073,18629,Medium
Twitter,#Challenge,Shorts,India,3128393,105546,30995,41182,Medium
Instagram,#Music,Tweet,Australia,1568970,253002,46733,33534,Medium
Instagram,#Education,Live Stream,UK,464742,267582,36900,25379,High
TikTok,#Fitness,Video,Germany,2014353,461968,86514,36689,High
Instagram,#Dance,Tweet,UK,2177286,201616,27274,22357,High
TikTok,#Viral,Tweet,Germany,4338397,139678,73551,14788,Medium
Instagram,#Gaming,Video,India,4659521,103924,29063,38288,Medium
YouTube,#Challenge,Tweet,Australia,2893640,20284,70366,14181,High
TikTok,#Comedy,Post,Germany,2815469,426113,93461,42629,Medium
Instagram,#Viral,Tweet,USA,3031527,384860,45831,37574,High
Instagram,#Challenge,Tweet,Germany,4655360,225104,99715,47565,Low
YouTube,#Viral,Post,Australia,1850613,125819,12927,41305,Medium
TikTok,#Gaming,Tweet,Germany,2210593,351628,3482,3706,High
Twitter,#Education,Tweet,Canada,2511011,219874,52071,723,High
Twitter,#Comedy,Reel,USA,4904231,448526,39996,15900,Medium
YouTube,#Tech,Tweet,Japan,630739,396267,48676,22034,Low
TikTok,#Gaming,Tweet,India,1572385,2798,3479,39467,Low
Instagram,#Dance,Shorts,USA,871802,491525,45339,23004,Medium
YouTube,#Tech,Reel,USA,3044031,327478,80291,4748,Low
Twitter,#Comedy,Live Stream,UK,3432762,386123,50354,18115,High
Twitter,#Tech,Reel,Germany,2145559,469691,78098,14666,Medium
Twitter,#Dance,Post,Australia,2064776,387203,7684,5608,Low
YouTube,#Viral,Post,Australia,354702,364531,95192,539,High
Instagram,#Tech,Post,Japan,665740,389852,99285,3432,Medium
Instagram,#Fitness,Shorts,Japan,4582997,440332,73379,85,Low
YouTube,#Education,Tweet,Germany,1392163,267737,59937,27304,Medium
YouTube,#Dance,Post,Australia,2183312,333767,32881,29602,High
Instagram,#Music,Shorts,Canada,2267018,137209,75303,31685,Low
Twitter,#Viral,Tweet,Brazil,1513659,130934,94962,3519,Low
Twitter,#Fashion,Live Stream,Australia,3267376,243498,80458,44516,Low
TikTok,#Challenge,Shorts,USA,2127779,176918,38776,18345,Low
Instagram,#Fashion,Live Stream,Canada,4151557,244562,87770,44396,Low
Twitter,#Gaming,Reel,Germany,360483,165482,18721,24681,High
YouTube,#Challenge,Shorts,USA,4987250,423644,6076,26739,Medium
YouTube,#Challenge,Reel,Australia,2612254,196077,21722,26238,High
Instagram,#Education,Shorts,Brazil,378823,448944,80149,42580,Low
TikTok,#Fitness,Shorts,Germany,4968911,151416,16628,7048,Medium
Twitter,#Education,Reel,India,2319248,419303,18861,44765,Low
Instagram,#Challenge,Live Stream,Australia,901819,73906,1462,12876,Low
Instagram,#Education,Live Stream,UK,1924813,188326,41895,37760,Medium
Twitter,#Fitness,Tweet,Germany,1779685,337898,22528,24827,Medium
Instagram,#Education,Live Stream,Canada,166638,52495,86474,5523,Low
Twitter,#Education,Video,USA,4952299,149289,67652,13777,Medium
Instagram,#Viral,Shorts,Brazil,908633,408446,85164,12149,High
